id,date,count
1,2020-11-27,9
2,2020-12-04,9
3,2020-03-11,8
4,2020-03-10,7
5,2020-05-10,7
6,2020-05-18,7
7,2020-06-26,7
8,2020-07-26,7
9,2020-09-29,7
10,2020-12-16,7
11,2020-01-18,6
12,2020-01-19,6
13,2020-02-29,6
14,2020-03-01,6
15,2020-03-14,6
16,2020-05-15,6
17,2020-05-29,6
18,2020-07-22,6
19,2020-07-28,6
20,2020-07-31,6
21,2020-10-14,6
22,2020-11-14,6
23,2020-01-03,5
24,2020-01-09,5
25,2020-02-03,5
26,2020-02-08,5
27,2020-02-14,5
28,2020-03-04,5
29,2020-03-05,5
30,2020-03-06,5
31,2020-03-13,5
32,2020-03-26,5
33,2020-04-22,5
34,2020-05-23,5
35,2020-06-01,5
36,2020-06-06,5
37,2020-07-16,5
38,2020-08-23,5
39,2020-09-04,5
40,2020-09-14,5
41,2020-09-19,5
42,2020-09-26,5
43,2020-10-20,5
44,2020-10-25,5
45,2020-10-29,5
46,2020-11-01,5
47,2020-11-12,5
48,2020-11-22,5
49,2020-11-23,5
50,2020-12-01,5
51,2020-12-06,5
52,2020-12-17,5
53,2020-12-26,5
54,2020-01-04,4
55,2020-01-06,4
56,2020-01-14,4
57,2020-01-27,4
58,2020-01-31,4
59,2020-02-04,4
60,2020-02-10,4
61,2020-02-13,4
62,2020-02-21,4
63,2020-02-24,4
64,2020-02-26,4
65,2020-03-18,4
66,2020-03-24,4
67,2020-03-27,4
68,2020-03-30,4
69,2020-03-31,4
70,2020-04-05,4
71,2020-04-09,4
72,2020-04-12,4
73,2020-04-27,4
74,2020-04-29,4
75,2020-05-02,4
76,2020-05-03,4
77,2020-05-04,4
78,2020-05-07,4
79,2020-05-27,4
80,2020-05-30,4
81,2020-06-05,4
82,2020-06-09,4
83,2020-06-11,4
84,2020-07-06,4
85,2020-07-14,4
86,2020-07-25,4
87,2020-08-01,4
88,2020-08-03,4
89,2020-08-10,4
90,2020-08-15,4
91,2020-08-17,4
92,2020-08-24,4
93,2020-09-10,4
94,2020-09-11,4
95,2020-09-15,4
96,2020-10-13,4
97,2020-10-15,4
98,2020-10-27,4
99,2020-10-31,4
100,2020-11-07,4
101,2020-11-16,4
102,2020-11-30,4
103,2020-12-07,4
104,2020-12-09,4
105,2020-12-13,4
106,2020-12-15,4
107,2020-12-24,4
108,2020-12-25,4
109,2020-01-01,3
110,2020-01-11,3
111,2020-01-12,3
112,2020-01-13,3
113,2020-01-20,3
114,2020-01-22,3
115,2020-01-25,3
116,2020-02-06,3
117,2020-02-09,3
118,2020-02-22,3
119,2020-02-25,3
120,2020-02-27,3
121,2020-02-28,3
122,2020-03-17,3
123,2020-03-22,3
124,2020-04-01,3
125,2020-04-02,3
126,2020-04-03,3
127,2020-04-07,3
128,2020-04-10,3
129,2020-04-11,3
130,2020-04-14,3
131,2020-04-17,3
